acorregir,reemplazar
bolsas de harpillera y cañamo,bolsas de arpillera y cañamo
borlas,borlas de algodon
botellas y sifones vacios,botellas y frascos vacios
"botellas, damajuanas y frascos vacios",botellas y frascos vacios
cabo en general,cabos en general
"cabo, cañamo y manila",cabo de cañamo y manila
"cabo, cañamo y manilla",cabo de cañamo y manila
cabra con pelo,cabras con pelo
cabritillas,cabritilla
cabritillas para guantes,cabritilla para guantes
cafe en grano,cafe en granos
caimsetas punto de algodon,camisetas punto de algodon
cajas de fierro,cajas de hierro
cajas de latas para te,cajas de lata para te
cajas de madera para cigarros,cajas para cigarros
calzado para hombre (cuero),calzado para hombre
calzado para hombres,calzado para hombre
calzado para mujer (cuero),calzado para mujer
calzado para niño,calzado para niños
calzado para niños (cuero),calzado para niños
calzado para niños y niñas,calzado para niños
calzado para señora,calzado para mujer
calzado para señoras,calzado para mujer
calzoncillo punto mezcla,calzoncillos punto mezcla
calzoncillos punto algodon,calzoncillos de punto de algodon
calzoncillos punto de algodon,calzoncillos de punto de algodon
calzoncillos punto de hilo,calzoncillos de punto de hilo
calzoncillos punto de lana,calzoncillos de punto de lana
calzoncillos punto de lana en corte,calzoncillos de punto de lana en corte
calzoncillos punto de lana mezcla,calzoncillos de punto de lana mezcla
calzoncillos punto de lana y ramio,calzoncillos de punto de lana y ramio
calzoncillos punto de seda,calzoncillos de punto de seda
calzoncillos punto lana,calzoncillos de punto de lana
calzoncillos punto seda,calzoncillos de punto de seda
calzoncillos seda,calzoncillos de seda
camas de fierro y bronce,camas de hierro y bronce
camas para carreta,camas para carretas
camisas de algodon hombres,camisas de algodon para hombre
camisas de algodon hombres (y niños),camisas de algodon para hombre
camisas de algodon hombres y niños,camisas de algodon para hombre
camisas de algodon para hombres y niños,camisas de algodon para hombre
camisas de algodon para señoras y niñas,camisas de algodon para mujer
camisas de algodon señoras,camisas de algodon para mujer
camisas de algodon señoras (y niñas),camisas de algodon para mujer
camisas de algodon vista de hilo para hombres y niños,camisas vista de hilo para hombres y niños
camisas de hilo para hombres y niños,camisas de hilo para hombre
camisas de hilo para señoras y niñas,camisas de hilo para mujer
camisas hilo hombres (y niños),camisas de hilo para hombre
camisas hilo señoras,camisas de hilo para mujer
camisas hilo señoras (y niñas),camisas de hilo para mujer
camisas para hombre de algodon,camisas de algodon para hombre
camisas para hombre de hilo,camisas de hilo para hombre
camisas para hombre de lana,camisas de lana para hombre
camisas para mujer (hilo),camisas de hilo para mujer
camisas para mujer de algodon,camisas de algodon para mujer
camisas para mujer de hilo,camisas de hilo para mujer
camisas vista de hilo de algodon para hombre,camisas vista de hilo para hombres
camisas vista de hilo para hombres y niños,camisas vista de hilo para hombres
camisas vistas de hilo hombre,camisas vista de hilo para hombres
camisas vistas de hilo hombres (y niños),camisas vista de hilo para hombres
camisas vistas de hilo para hombres y niños,camisas vista de hilo para hombres
camisas vistas de hilo para hombres y señoras,camisas vista de hilo para hombres
camisetas de lana y franela; punto lana,camisetas de lana
camisetas de punto con ramio,camisetas de punto de lana con ramio
camisetas de punto de algodon en cortes,camisetas de punto de algodon en corte
camisetas de punto de lana mecla en corte,camisetas de punto de lana mezcla en corte
camisetas de punto de lana y algodon y las llamadas tricots ord.,camisetas de punto de lana mezcla
camisetas de punto de seda y seda mezcla,camisetas de punto de seda mezcla
camisetas de puntode hilo,camisetas de punto de hilo
camisetas en corte de algodon,camisetas de algodon en corte
camisetas en corte de lana,camisetas de lana en corte
camisetas punto de algodon,camisetas de punto de algodon
camisetas punto de algodon con ramio,camisetas de punto de algodon con ramio
camisetas punto de hilo,camisetas de punto de hilo
camisetas punto de lana,camisetas de punto de lana
camisetas punto de lana mezcla,camisetas de punto de lana mezcla
camisetas punto de lana mezcla en corte,camisetas de punto de lana mezcla en corte
"camisetas punto de lana, algodon y seda","camisetas de punto de lana, algodon y seda"
camisetas punto de seda,camisetas de punto de seda
camisetas punto de seda mezcla,camisetas de punto de seda mezcla
camisetas punto lana y seda,camisetas de punto lana y seda
campeche (extracto),campeche (extracto de)
cañas tacuara,cañas tacuaras
canastos y canastas,canastas y canastos
"caños de cobre, bronce, fierro y plomo","caños de bronce, cobre, hierro y plomo"
caños de fierro,caños de hierro
caños de plomo y hierro,caños de hierro y plomo
caños do zinc,caños de zinc
carbon de piedra,carbon piedra
carnes tasajo,carne tasajo
"carnes varias (carne de vaca y de cerdo, en salmuera y en conserva, chorizos, salchichon, tocino etc.)",carnes varias
"carros, carretas y carreton","carros, carretas y carretones"
"carros, carretas y cartones","carros, carretas y carretones"
carruajes (articulos),carruajes (articulos de)
carruajes articulos,carruajes (articulos de)
cascara para cubrir,cascara para curtir
cascara para curtir (madera),cascara para curtir
cascaras para curtir,cascara para curtir
casimir lana y seda,casimir de lana y seda
casimir mezcla de lana,casimir de lana mezcla
casimis de algodon,casimir de algodon
celuloide (articulos),celuloide (articulos de)
celuloide articulos,celuloide (articulos de)
celuloide en plancha,celuloide en planchas
cepillos,cepillos en general
chocolates,chocolate
cigarrillos en cajetillas,cigarrillos en cajillas
cigarros de hoja filipinos,cigarros de hoja filipino
cigarros de hoja habano,cigarros de hoja habanos
cigarros de hoja hamburgueses,cigarros de hoja hamburgues
cigarros de hoja italiano,cigarros de hoja italianos
cigarros en cajillas,cigarrillos en cajillas
cigarros filipinos,cigarros de hoja filipino
cigarros habanos,cigarros de hoja habanos
cigarros hamburgueses,cigarros de hoja hamburgues
cigarros italianos,cigarros de hoja italianos
cigarros paraguayos,cigarros de hoja paraguayo
cigarros tabaco blanco,cigarros de tabaco blanco
cigarros tabaco negro,cigarros de tabaco negro
cinematografos (articulos),cinematografos (articulos de)
cinta de hilo mezcla,cintas de hilo mezcla
cinta de otras clases,cintas de otras clases
cinta de seda,cintas de seda
cinta de seda mezcla,cintas de seda mezcla
cintas otras clases,cintas de otras clases
cintas par cinematografos,cintas para cinematografos
ciruelas secas y en aguardiente,ciruelas (secas y en aguardiente)
clavo,clavo (flor de)
clavos (tachuelas),clavos tachuelas
clavos de cobre y bronce,clavos de bronce y cobre
clavos demas clases,clavos de otras clases
clavos otras clases,clavos de otras clases
clavos para zapatero,clavos para zapateros
clavos punta de paris,clavos puntas de paris
cmisetas de punto de lana en corte,camisetas de punto de lana en corte
cobertores mezcla,cobertores de lana mezcla
cobertores mezcla y ramo,cobertores de lana mezcla y ramio
cohetes de la india,cohetes
cohetes de la india y voladores,cohetes
colchas algodon y ramio,colchas de algodon con ramio
colchas de algodon y ramio,colchas de algodon con ramio
colchas mezcla (hilo),colchas de hilo mezcla
colchas mezcla con ramio (hilo),colchas de hilo mezcla con ramio
columnas y tirantes de fierro,columnas y tirantes de hierro
cominos,comino
confecciones de punto lana y ramio,confecciones de punto de lana con ramio
confecciones de punto mezcla,confecciones punto de lana mezcla
confecciones para señoras y niñas,confecciones de punto para mujer
confecciones punto de lana para señoras y niñas,confecciones de punto para mujer
confecciones punto lana para señoras y niñas,confecciones de punto para mujer
confiteria (articulos),confiteria (articulos de)
confiteria articulos,confiteria (articulos de)
conserva de tomate,conserva y salsa de tomate
conservas (alimenticias),conservas alimenticias
conservas y salsa de tomate,conserva y salsa de tomate
corbatas en general,corbatas de otras clases
corbatas otras clases,corbatas de otras clases
corcho en plancha,corcho en planchas
cordon de hilo mezcla,cordon de hilo e hilo mezcla
correas de pelo de caramelo,correas de pelo de camello
corsees,corses
cristaleria,cristaleria (articulos de)
cristaleria articulos,cristaleria (articulos de)
cristaleria y vidrieria,cristales y vidrios
cristales,cristaleria (articulos de)
cristales (articulos de),cristaleria (articulos de)
cuerdos de cerdo,cueros de cerdo
cuero de cerdo,cueros de cerdo
cuero de ciervo,cueros de ciervo
cuero de ciervo sin curtir,cueros de ciervo sin curtir
cuero de gamuza,cueros de gamuza
cueros de potro charolado,cueros de potro charolados
"cueros de potro, charolados",cueros de potro charolados
cueros de potros charolados,cueros de potro charolados
"cueros de potros, charolados",cueros de potro charolados
cueros lanares,cueros de lanares
cueros para potros charolados,cueros de potro charolados
cueros sin curtir de becerro,cueros de becerro sin curtir
cueros sin curtir de carpincho,cueros de carpincho sin curtir
cueros sin curtir de tigre,cueros de tigre sin curtir
cueros vacunos nonatos,cueros de vacunos nonatos
cueros vacunos salados,cueros de vacunos salados
cueros vacunos secos,cueros de vacunos secos
cueros yeguarizos y potro secos,cueros de yeguarizos y potros secos
cueros yeguarizos y potros secos,cueros de yeguarizos y potros secos
curvas,curvas de madera
de cerdo,cueros de cerdo
de gamuza,cueros de gamuza
demas substancias (alimenticias) no especificadas,otras substancias alimenticias no especificadas
demas substancias alimenticias no especificadas,otras substancias alimenticias no especificadas
demas sustancias alimenticias,otras substancias alimenticias no especificadas
drogas no mencionadas,drogas no espcificadas
dulces secos,dulce seco
durmientes (madera),durmientes
eje de hierro,ejes de hierro
eje de madera,ejes de madera
ejes (madera),ejes de madera
"encaje, puntillas y blondas de algodon","encajes, puntillas y blondas de algodon"
"encajes, puntillas, blondas de hilo","encajes, puntillas y blondas de hilo"
especias,especias no especificadas
especias (en general),especias no especificadas
especias varias,especias no especificadas
especifico para ovinos,especifico para curar ovejas
estera,esteras
esterilla (seda),esterilla de seda
estufas de fierro,estufas de hierro
extracto para curtiduria,extracto para curtir
fantasia y cristal (artefactos),fantasia y cristal (artefactos de)
fantasia y cristal articulos,fantasia y cristal (artefactos de)
farmacia,farmacia (articulos de)
farmacia (articulos de ),farmacia (articulos de)
farmacias,farmacia (articulos de)
farmacias (articulos de),farmacia (articulos de)
ferreteria,ferreteria (articulos de)
fieltro para techo,fieltro para techos
fierro,hierro
fierro en barras y planchas,hierro en barras y planchas
fierro en lingotes,hierro en lingotes
fierro galvanizado para techo,hierro galvanizado para techo
fierro galvanizado para techos,hierro galvanizado para techos
fleco,flecos
fleco de lana,flecos de lana
fleco de lana mezcla,flecos de lana mezcla
fleco de seda,flecos de seda
fleco de seda mezcla,flecos de seda mezcla
flecos (seda),flecos de seda
flecos mezcla (seda),flecos de seda mezcla
fonografos y gamofonos,fonografos y grafofonos (articulos de)
fonografos y gamofonos articulos,fonografos y grafofonos (articulos de)
fonografos y grafofonos,fonografos y grafofonos (articulos de)
fonografos y grafofonos (articulos),fonografos y grafofonos (articulos de)
fonografos y gramofonos,fonografos y grafofonos (articulos de)
fosforo en vivo,fosforo vivo
fotografia,fotografia (articulos de)
fotografia (articulos),fotografia (articulos de)
fotografia articulos,fotografia (articulos de)
franela mezcla,franela de lana mezcla
franelade algodon,franela de algodon
fruta fresca (varias),fruta fresca
frutas en conserva,fruta en conserva
frutas frescas,fruta fresca
frutas frescas (varias),fruta fresca
frutas secas,fruta seca
frutas varias,fruta seca
"frutas varias (en aguardiente, almibar, frescas y secas)",fruta no especificada
galon,galon otras clases
"gamuza, badanas o sus imitaciones en cuero de carnero",gamuza
gazolina,gasolina
gelinita,gelignita
genero para filtrar,generos para filtros
genero para filtros,generos para filtros
generos de algodon,telas de algodon
generos de hilo,telas de hilo
generos de hilo mezcla,telas de hilo mezcla
generos de lana,telas de lana
generos de lana mezcla,telas de lana mezcla
generos de seda,telas de seda
generos de seda mezcla,telas de seda mezcla
ginger-ale,ginger ale
goma (articulos),goma (articulos de)
goma articulos,goma (articulos de)
goma e en plancha,goma en planchas
goma en plancha,goma en planchas
gorra de paja,gorras de paja
gorras y gorritas en general,gorras y gorritos en general
gorras y gorritos,gorras y gorritos en general
grapa,grappa
guantes de punto (hilo),guantes de punto de hilo
guantes de punto (seda),guantes de punto de seda
guantes de punto mezcla (seda),guantes de punto de seda mezcla
guantes punto de algodon,guantes de punto de algodon
guantes punto de hilo,guantes de punto de hilo
guantes punto de hilo mezcla,guantes de punto de hilo mezcla
guantes punto de lana,guantes de punto de lana
guantes punto de seda,guantes de punto de seda
guantes punto de seda mezcla,guantes de punto de seda mezcla
guantesde cabritilla,guantes de cabritilla
guinches de vapor,guinches a vapor
harina de arveja,harina de arvejas
harina de castaña,harina de castañas
harina de garbanzo,harina de garbanzos
harina y feculas no especificadas,harinas no especificadas
harinas de avena,harina de avena
"harinas de centeno, maiz, garbanzos u otra materia",harinas varias clases
harinas y feculas no especificadas,harinas no especificadas
harpillera,arpillera
harpillera comun,arpillera comun
harpillera engomada,arpillera engomada
herramientas y utiles para la agricultura,"herramientas, maquinas y utiles para la agricultura"
"herramientas, maquinas y utiles para agricultura","herramientas, maquinas y utiles para la agricultura"
hierro en lingote,hierro en lingotes
hilo acarreto,hilo de acarreto
hilo de coser (en carretel),hilo de coser en carretel
hilo de coser (en ovillos),hilo de coser en ovillo
hilo de coser en carrete,hilo de coser en carretel
hilo de coser en carreteles,hilo de coser en carretel
hilo de coser en carretes,hilo de coser en carretel
hilo de coser en general (en carretel),hilo de coser en carretel
hilo de coser en general (en ovillos),hilo de coser en ovillo
hilo de coser en ovillos,hilo de coser en ovillo
hilo en ovillos,hilo de coser en ovillo
hilo para sesgadoras,hilo para segadoras
hilo para talabartero y zapatero,hilo para talabarteros y zapateros
hilo para zapateras,hilo para zapatero
hilo para zapateros,hilo para zapatero
hilo yute,hilo de yute
hilos de coser (en ovillos),hilo de coser en ovillo
hoja de lata,hojalata
hoja lata,hojalata
hoja-lata,hojalata
hojalata (articulos),hojalata (articulos de)
hojalata articulos,hojalata (articulos de)
hule para piso,hule para pisos
instrumento de musica,instrumentos de musica
instrumentos de cirguia,instrumentos de cirugia
instrumentos de cirujia,instrumentos de cirugia
instrumentos de cirujia y quimica,instrumentos de cirugia
jergas,jergas otras clases
"joyas, alhajas y piedraspreciosas","joyas, alhajas y piedras preciosas"
junco cortado para sillas,junco para sillas
junco para esterilla,junco para esterillas
ladrillos reflactarios,ladrillos refractarios
lagosticidas,langosticidas
lampara para alcohol desnaturalizado,lamparas de alcohol desnaturalizado
leche consensada,leche condensada
legumbres,legumbres no especificadas
levadura,levaduras
libros en blaco,libros en blanco
"libros impresos, empastados",libros impresos empastados
licor,licores
liquido para marcar ovinos,liquido para marcar ovejas
litografia,litografia (articulos de)
litografia (articulos),litografia (articulos de)
litografia accesorios,litografia (articulos de)
lona mezcla (hilo),lona de hilo mezcla
"lona, cañamo y yute",lona y loneta de cañamo o yute
loneta de cañamo o yute,lona y loneta de cañamo o yute
loza,loza (articulos de)
loza (articulos),loza (articulos de)
loza articulos,loza (articulos de)
loza y porcelana,loza (articulos de)
lupolo u oblon,lupulo u oblon
lupulo y oblon,lupulo u oblon
madera dura (diversas clases),madera dura
maderadura (diversas clases),madera dura
maderas sin labrar,madera sin labrar
madiles,mandiles
madolinos,mandolines
mandolinos,mandolines
mantas en gereral,mantas en general
mantas para viaje,mantas de viaje
manteles (hilo),manteles de hilo
manteles con ramio,manteles de hilo con ramio
manteles mezcla (hilo),manteles de hilo mezcla
maqiunas para cervecerias,maquinas para cervecerias
maquina para tipografia,maquinas para tipografia
maquinas diversas,maquinas no especificadas
maquinas guandañadoras,maquinas guadañadoras
maquinas no especificadas accesorios,maquinas no especificadas (accesorios)
maquinas para almbrar,maquinas para alambrar
maquinas para aserradero,maquinas para aserraderos
maquinas para aserraderos y carpinteros,maquinas para aserraderos y carpinterias
maquinas para aserradoro,maquinas para aserraderos
maquinas para cartoneria,maquinas para cartonerias
maquinas para cerveceria,maquinas para cervecerias
maquinas para coser,maquinas de coser
maquinas para coser (accesorios),maquinas de coser (accesorios)
maquinas para coser accesorios,maquinas de coser (accesorios)
maquinas para curtidorias,maquinas para curtidurias
maquinas para cutidurias,maquinas para curtidurias
maquinas para destilar,maquinas para destilerias
maquinas para encuadernacion,maquinas para encuadernar
maquinas para erreros,maquinas para herreros
maquinas para escribir,maquinas de escribir
maquinas para fabricar baldozas,maquinas para fabricar baldosas
maquinas para fabricar galletitas,maquinas para fabricar galletas
maquinas para fabricar tejidos,maquinas para fabricar tejidos e hilados
maquinas para fabricas de aceite,maquinas para fabricar aceite
maquinas para fabricas de bolsas,maquinas para fabricar bolsas
maquinas para fabricas de botones,maquinas para fabricar botones
maquinas para fabricas de calzado,maquinas para fabricar calzado
maquinas para fabricas de chocolate,maquinas para fabricar chocolate
maquinas para fabricas de clavos,maquinas para fabricar clavos
maquinas para fabricas de conservas,maquinas para fabricar conservas
maquinas para fabricas de corses,maquinas para fabricar corses
maquinas para fabricas de extracto de carne,maquinas para fabricar extracto de carne
maquinas para fabricas de fosforos,maquinas para fabricar fosforos
maquinas para fabricas de galletitas,maquinas para fabricar galletitas
maquinas para fabricas de helados,maquinas para fabricar helados
maquinas para fabricas de hielo,maquinas para fabricar hielo
maquinas para fabricas de ladrillos,maquinas para fabricar ladrillos
maquinas para fabricas de masilla,maquinas para fabricar masilla
maquinas para fabricas de papel,maquinas para fabricar papel
maquinas para fabricas de peptona,maquinas para fabricar peptona
maquinas para fabricas de portland,maquinas para fabricar portland
maquinas para fabricas de soda,maquinas para fabricar soda
maquinas para fabricas de tejidos,maquinas para fabricar tejidos
maquinas para fabricas de velas,maquinas para fabricar velas
maquinas para fabricas de vidrio,maquinas para fabricar vidrio
maquinas para fabricas de vidrios,maquinas para fabricar vidrios
maquinas para fabricas papel,maquinas para fabricar papel
maquinas para hacer cajas para fosforos,maquinas para fabricar cajas para fosforos
maquinas para hacer cigarrillos,maquinas para fabricar cigarrillos
maquinas para hacer cigarros,maquinas para fabricar cigarros
maquinas para hacer escobas,maquinas para fabricar escobas
maquinas para hacer ladrillos,maquinas para fabricar ladrillos
maquinas para hacer manteca,maquinas para fabricar manteca
maquinas para hacer queso,maquinas para fabricar queso
maquinas para hacer quesos,maquinas para fabricar queso
maquinas para herrerias,maquinas para herreria
maquinas para herreros,maquinas para herreria
maquinas para hojalaterias,maquinas para hojalateria
maquinas para hojalatero,maquinas para hojalateria
maquinas para imprentas,maquinas para imprenta
maquinas para incubadoras,maquinas para incubar
maquinas para la vinicultura,maquinas para la viticultura
maquinas para la vitucultura,maquinas para la viticultura
maquinas para lavaderos,maquinas para lavar
maquinas para licoreria,maquinas para licorerias
maquinas para litografias,maquinas para litografia
maquinas para matequerias,maquinas para mantequerias
maquinas para molino,maquinas para molinos
maquinas para pozos artesianos,maquinas para pozos artesanales
maquinas para registradoras,maquinas registradoras
maquinas para segadoras,maquinas para segar
maquinas para sombrererias,maquinas para sombrereria
maquinas para tipografias,maquinas para tipografia
maquinas para triturar piedras,maquinas para triturar piedra
maquinas para vinicultura,maquinas para la viticultura
maquinas para viticultura,maquinas para la viticultura
maquinas rompedoras de grano,maquinas rompedoras de granos
maqunas para fabric. de baldosas,maquinas para fabricar baldosas
marfil (articulos),marfil (articulos de)
marroquines,marroquies
material para calefaccion,materiales para calefaccion
materias para la agricultura y vinicultura,materias para la agricultura y la viticultura
mazacotes,mazacote
mazocote,mazacote
mechas para barrenos,mechas para barreno
mechas para lamparas,mechas para lampara
medias (hilo),medias de hilo
medias (seda),medias de seda
medias algodon  y ramio,medias de algodon con ramio
medias de seda-mezcla,medias de seda mezcla
medias mezcla (lana),medias de lana mezcla
medias mezcla (seda),medias de seda mezcla
merceria,merceria (articulos de)
merceria en general,merceria (articulos de)
metal blanco (articulos),metal blanco (articulos de)
metal blanco articulos,metal blanco (articulos de)
molinos a viento,molinos de viento
monumento de marmol,monumentos de marmol
motores de bencina,motores a bencina
motores de electricidad,motores a electricidad
motores de gas,motores a gas
motores de gasolina,motores a gasolina
motores de gasolina y bencina,motores a gasolina y bencina
motores de kerosene,motores a keronese
motores de vapor,motores a vapor
motores electricos,motores a electricidad
navales (articulos),navales (articulos de)
navales (varios articulos),navales (articulos de)
navales articulos,navales (articulos de)
nitrato de potasas y soda,nitrato de soda y potasa
obrs de composicion,obras de composicion
orcones,arcones
otras clases (papel),papel de otras clases
otras clases de papel,papel de otras clases
otras maquinas no especificadas para la agricultura,otras maquinas para la agricultura
otros utiles y herramientas para la agricultura,otros utiles y herramientas para la agricutura
ovejas,ovinos
pabillo,pabilo
paja par techo,paja para techo
palmas (maderas),palmas
palo campeche,campeche (palo de)
paño,paño en general
"paño, lana y seda",paño de lana y seda
paños de seda,paño de seda
pape blanco en general,papel blanco en general
papel (otras clases de),papel de otras clases
papel de astraza,papel de estraza
papel de otras clases (embalaje),papel de otras clases
papel estraza,papel de estraza
papel para cigarillos,papel para cigarrillos
papel para confiterias,papel para confiteria
papel para filtrar,papel para filtrar en hojas
papel para filtrar (hojas),papel para filtrar en hojas
papel para imprenta,papel de imprenta
"papel, demas clases",papel de otras clases
papeles (otras clases de),papel de otras clases
papeles de estraza,papel de estraza
papeles de imprenta,papel de imprenta
papeles de lija,papel de lija
papeles de otras clases (embalaje),papel de otras clases
papeles impresos,papel impreso
papeles no especificados,papel de otras clases
pasa de uva,pasas de uva
pasas de uvas,pasas de uva
perfumeria,perfumeria (articulos de)
perfumeria en general,perfumeria (articulos de)
piazabal,piazaba
picanillas (madera),picanillas
pickes,piques
pickets,piques
piedras litograficas,piedra litografica
piedras para molino,piedra para molino
piedras para vereda,piedra para vereda
pikes,piques
pino spruce etc,pino spruce y otros
"pino spruce, etc.",pino spruce y otros
"pino, spruce etc",pino spruce y otros
piques (madera),piques
piques de madera,piques
pizarra para techos,pizarra para techo
pizarras de fibras y cemento para techos,pizarra para techo
pizarras para techo,pizarra para techo
pizarras para techos,pizarra para techo
pizzarra con o sin marco,pizarras con o sin marco
plata (articulos),plata (articulos de)
plata articulos,plata (articulos de)
polvos para prepara vinos,polvos para preparar vino
polvos para preparar vinos,polvos para preparar vino
ponchos de algodon y lana con algodon,ponchos de lana y lana con algodon
ponchos de lana con algodon,ponchos de lana y lana con algodon
ponchos de seda y mezcla,ponchos de seda mezcla
ponchos o mantas de lana,ponchos de lana
porcelana,porcelana (articulos de)
porcelana (articulos),porcelana (articulos de)
prefumeria,perfumeria (articulos de)
prensa hidraulica,prensas hidraulicas
punch,ponche
punch - ponche,ponche
rayos de rueda para carretas,rayos para carretas
rayos para carreta,rayos para carretas
rebozos de lana mezcla y ramio,rebozos de lana mezcla con ramio
rebozos mezcla con ramio,rebozos de lana mezcla con ramio
rejas para arado,rejas para arados
rejojes de cobre y composicion,relojes de cobre y composicion
relojeria,relojeria (articulos de)
relojeroa (articulos de),relojeria (articulos de)
relojes de mesa y pared,relojes de mesa y de pared
relojes de sobremesa,relojes de mesa y de pared
relojes de sobremesa y pared,relojes de mesa y de pared
resina y pez,"alquitran, brea, resina y pez"
rhom,ron
rhum,ron
riplas,ripias
rom,ron
ropa blanca,ropa blanca en general
ropa hecha  de algodon para hombre,ropa hecha de algodon para hombre
ropa hecha hombre,ropa hecha para hombre
ropa hecha mezcla para mujer (hilo),ropa hecha de hilo mezcla para mujer
ropa hecha mezcla para mujer (seda),ropa hecha de seda mezcla para mujer
ropa hecha niño,ropa hecha para hombre
ropa hecha para hombre,ropa hecha para hombre
ropa hecha para hombres y niños,ropa hecha para hombre
ropa hecha para niños,ropa hecha para hombre
ropa hecha para señora,ropa hecha para mujer
ropa hecha para señoras y niñas,ropa hecha para mujer
ropa hecha señora,ropa hecha para mujer
ropa hechas para señoras y niñas,ropa hecha para mujer
ruedas de fierro,ruedas de hierro
ruedas para tranvia,ruedas para tranvias
"salchichon, etc. ",salchichon
sardina en aceite,sardinas en aceite
sarminetos y vides,sarmientos y vides
schnapps,schnaps
schnnapps,schnaps
seda para bordar o coser,seda para bordar y coser
seda para coser o bordar,seda para bordar y coser
seda para coser y bordar,seda para bordar y coser
semilla de forraje,semilla de forrajes
semillas de alfalfa,semilla de alfalfa
semillas de arboles,semilla de arboles
semillas de avena,semilla de avena
semillas de cañamo,semilla de cañamo
semillas de flores,semilla de flores
semillas de forrajes,semilla de forrajes
semillas de hortalizas,semilla de hortalizas
semillas de lino,semilla de lino
semillas de pasto,semilla de pasto
servilletas algodon y ramio,servilletas de algodon con ramio
servilletas de hilo con ramiio,servilletas de hilo con ramio
sillas de montar y talbarteria,sillas de montar y talabarteria
sobreros de paja sin concluir,sombreros de paja sin concluir
soda crsitalizada,soda cristalizada
sombrereria,sombrereria (articulos de)
sombrereria (articulos),sombrereria (articulos de)
sombrero de paño para niños,sombrero de paño para hombre
sombreros de felpa para hombres,sombreros de felpa para hombre
sombreros de fieltro sin confeccion,sombreros de fieltro sin confeccionar
sombreros de genero para hombres y niños,sombreros de genero para hombre
sombreros de genero y hule para hombres y niños,sombreros de genero y hule para hombre
"sombreros de paja, palma y viruta para hombres y niños","sombreros de paja, palma y viruta"
"sombreros de palma, paja y viruta","sombreros de paja, palma y viruta"
